,Spanish,English
0,contener , to contain
1,apartarse , to separate
2,perdonar , to pardon
3,intentar , to intend
4,soñar (con) , to dream (about)
5,convertir , to convert
6,venir , to come
7,apresurarse , to hurry
8,acercarse ," to approach, to near"
9,animarse , to cheer up
10,reconocer , to recognize
11,apoyar , to support
12,charlar , to chat
13,corromper , to corrupt
14,descubrir , to discover
15,cambiar de idea , to change one's mind
16,traer , to bring
17,mantener , to maintain
18,llenar , to fill
19,cumplir ," to complete, to comply"
20,referir , to refer
21,tomar , to take
22,cocinar , to cook
23,distraer , to distract
24,picar , to sting
25,ofrecer , to offer
26,cambiar , to change
27,oler , to smell
28,broncear , to tan
29,preguntar , to ask a question
30,decepcionar , to disappoint
31,oponer , to oppose
32,callarse , to be quiet
33,pudrir , to rot
34,triunfar , to triumph
35,cruzar , to cross
36,componer , to compose
37,usar , to use
38,durar , to last
39,valer , to be worth
40,limpiar , to clean
41,resolver , to resolve
42,vacilar , to hesitate
43,peinarse , to brush (one's hair)
44,levantarse , to get up
45,abrazar , to embrace
46,enterarse , to become informed
47,lastimarse , to hurt oneself
48,reunirse , to meet
49,sembrar , to sow
50,fracasar , to fail
51,acostumbrar , to be accustomed
52,satisfacer , to satisfy
53,celebrar , to celebrate
54,andar ," to stroll, to walk"
55,escuchar , to listen to
56,inscribirse ," to enroll, to register"
57,mezclar , to mix
58,abrir , to open
59,respirar , to breathe
60,atravesar , to cross
61,doblar , to turn
62,tranquilizarse , to calm down
63,excavar ," to excavate, to dig"
64,barrer , to sweep
65,gobernar , to govern
66,exigir , to demand
67,ponerse ," to put on (clothes), to become (emotion)"
68,ducharse , to take a shower
69,bendecir , to bless
70,nacer , to be born
71,visitar , to visit
72,meter , to put inside
73,tocar ," to touch, to play (an instrument)"
74,calmarse , to calm down
75,dibujar , to draw
76,comparar , to compare
77,comenzar , to begin
78,dar , to give
79,felicitar , to congratulate
80,aguantar , to tolerate
81,bailar , to dance
82,desear , to desire
83,leer , to read
84,hinchar , to swell
85,cepillarse , to brush (one's teeth)
86,preparar , to prepare
87,oír , to hear
88,tratarse (de) , to be about
89,querer , to want
90,sollozar , to sob
91,detenerse , to stop
92,conseguir , to obtain
93,hacer ," to do, to make"
94,asegurar , to assure
95,reducir , to reduce
96,proteger , to protect
97,ocurrirse ," to get an idea, to occur to"
98,adivinar , to guess
99,darse cuenta (de) , to realize
