,Spanish,English,Audio
0,Se graduó con honores de la universidad.,She graduated with honors from the university.,./Sentences/Common Verbs 201 - 300/audio/0_Common Verbs 201 - 300_audio.mp3
1,Le salió bien la receta que intentó ayer.,The recipe she tried yesterday turned out well.,./Sentences/Common Verbs 201 - 300/audio/1_Common Verbs 201 - 300_audio.mp3
2,Aprendí a tocar la guitarra cuando era joven.,I learned to play the guitar when I was young.,./Sentences/Common Verbs 201 - 300/audio/2_Common Verbs 201 - 300_audio.mp3
3,Le agradezco mucho por su ayuda en el proyecto.,I am very grateful to you for your help on the project.,./Sentences/Common Verbs 201 - 300/audio/3_Common Verbs 201 - 300_audio.mp3
4,Dividieron el pastel en porciones iguales para todos.,They divided the cake into equal portions for everyone.,./Sentences/Common Verbs 201 - 300/audio/4_Common Verbs 201 - 300_audio.mp3
5,Me tentó la idea de viajar por todo el mundo.,The idea of traveling around the world tempted me.,./Sentences/Common Verbs 201 - 300/audio/5_Common Verbs 201 - 300_audio.mp3
6,Necesitamos más tiempo para terminar el informe.,We need more time to finish the report.,./Sentences/Common Verbs 201 - 300/audio/6_Common Verbs 201 - 300_audio.mp3
7,"Llámame cuando llegues a casa, por favor.","Call me when you get home, please.",./Sentences/Common Verbs 201 - 300/audio/7_Common Verbs 201 - 300_audio.mp3
8,Los bomberos rescataron al gato del árbol.,The firefighters rescued the cat from the tree.,./Sentences/Common Verbs 201 - 300/audio/8_Common Verbs 201 - 300_audio.mp3
9,"No tragues tan rápido, mastica bien la comida.","Don't swallow so quickly, chew the food well.",./Sentences/Common Verbs 201 - 300/audio/9_Common Verbs 201 - 300_audio.mp3
10,Esperamos con ansias nuestras vacaciones en la playa.,We look forward to our beach vacation.,./Sentences/Common Verbs 201 - 300/audio/10_Common Verbs 201 - 300_audio.mp3
11,Aprendí a esquiar en las montañas el invierno pasado.,I learned to ski in the mountains last winter.,./Sentences/Common Verbs 201 - 300/audio/11_Common Verbs 201 - 300_audio.mp3
12,Le suplicó a su jefe que le diera un aumento de sueldo.,She begged her boss to give her a raise.,./Sentences/Common Verbs 201 - 300/audio/12_Common Verbs 201 - 300_audio.mp3
