,Spanish,English,Audio
0,Los temas de la conferencia son muy variados.,The topics of the conference are very diverse.,./Sentences/Week 9/audio/0_Week 9_audio.mp3
1,Tener que ver con la literatura es su pasión.,To have to do with literature is his passion.,./Sentences/Week 9/audio/1_Week 9_audio.mp3
2,El profesor planteó una discusión interesante en clase.,The teacher raised an interesting discussion in class.,./Sentences/Week 9/audio/2_Week 9_audio.mp3
3,Valoramos mucho tu opinión en este asunto.,We highly value your opinion on this matter.,./Sentences/Week 9/audio/3_Week 9_audio.mp3
4,Estaba vigilado por cámaras de seguridad en todo momento.,He was being watched by security cameras at all times.,./Sentences/Week 9/audio/4_Week 9_audio.mp3
5,Me siento incómodo con la situación actual.,I feel uncomfortable with the current situation.,./Sentences/Week 9/audio/5_Week 9_audio.mp3
6,Gasté todo mi dinero en ropa nueva.,I spent all my money on new clothes.,./Sentences/Week 9/audio/6_Week 9_audio.mp3
7,No tolero cualquier tipo de amenaza en mi entorno.,I don't tolerate any kind of threat in my environment.,./Sentences/Week 9/audio/7_Week 9_audio.mp3
8,El evento fue auspiciado por una reconocida marca de ropa.,The event was sponsored by a well-known clothing brand.,./Sentences/Week 9/audio/8_Week 9_audio.mp3
9,Se comentaba que el nuevo restaurante era excelente.,It was said that the new restaurant was excellent.,./Sentences/Week 9/audio/9_Week 9_audio.mp3
10,Este programa tenía la capacidad de interceptar mensajes de texto.,This program had the ability to intercept text messages.,./Sentences/Week 9/audio/10_Week 9_audio.mp3
11,Los mensajes de texto de este tipo suelen ser malinterpretados.,Text messages of this type are often misunderstood.,./Sentences/Week 9/audio/11_Week 9_audio.mp3
12,Ellos se encargan de velar por el cumplimiento de la ley.,They are in charge of ensuring compliance with the law.,./Sentences/Week 9/audio/12_Week 9_audio.mp3
13,Me parece que deberíamos tomar una decisión pronto.,It seems to me that we should make a decision soon.,./Sentences/Week 9/audio/13_Week 9_audio.mp3
14,Me registran en la entrada de la empresa.,They register me at the entrance of the company.,./Sentences/Week 9/audio/14_Week 9_audio.mp3
15,Estaba expuesta a situaciones de riesgo en mi antiguo trabajo.,I was exposed to risky situations in my previous job.,./Sentences/Week 9/audio/15_Week 9_audio.mp3
16,Se dice que el nuevo restaurante es el mejor de la ciudad.,It is said that the new restaurant is the best in the city.,./Sentences/Week 9/audio/16_Week 9_audio.mp3
17,Poseer una gran fortuna conlleva una gran responsabilidad.,To possess a great fortune carries a great responsibility.,./Sentences/Week 9/audio/17_Week 9_audio.mp3
18,El promedio de edad de los estudiantes es de 25 años.,The average age of the students is 25 years old.,./Sentences/Week 9/audio/18_Week 9_audio.mp3
19,Intentaron disuadir a los ladrones con alarmas y cámaras de seguridad.,They tried to deter the thieves with alarms and security cameras.,./Sentences/Week 9/audio/19_Week 9_audio.mp3
20,Reconocer el esfuerzo de los demás es importante para mantener un buen ambiente laboral.,Recognizing the effort of others is important to maintain a good work environment.,./Sentences/Week 9/audio/20_Week 9_audio.mp3
21,Debemos darnos cuenta de que la educación es la clave para un futuro mejor.,We must realize that education is the key to a better future.,./Sentences/Week 9/audio/21_Week 9_audio.mp3
22,Actuar con prudencia es fundamental en situaciones de emergencia.,Acting with caution is essential in emergency situations.,./Sentences/Week 9/audio/22_Week 9_audio.mp3
23,No debemos permitir que invadan nuestra privacidad.,We must not allow them to invade our privacy.,./Sentences/Week 9/audio/23_Week 9_audio.mp3
24,Los estafadores utilizan diferentes técnicas para engañar a las personas.,Scammers use different techniques to deceive people.,./Sentences/Week 9/audio/24_Week 9_audio.mp3
25,Necesito renovar mi cédula de identidad.,I need to renew my identity card.,./Sentences/Week 9/audio/25_Week 9_audio.mp3
26,Dejemos ese tema para otro día y enfoquémonos en la tarea actual.,Let's leave that topic for another day and focus on the current task.,./Sentences/Week 9/audio/26_Week 9_audio.mp3
27,"Lamentablemente, no podremos asistir a la reunión programada para hoy.","Unfortunately, we will not be able to attend the meeting scheduled for today.",./Sentences/Week 9/audio/27_Week 9_audio.mp3
28,El atentado terrorista causó conmoción en toda la ciudad.,The terrorist attack caused shock throughout the city.,./Sentences/Week 9/audio/28_Week 9_audio.mp3
29,Los heridos fueron trasladados de inmediato al hospital más cercano.,The injured were immediately taken to the nearest hospital.,./Sentences/Week 9/audio/29_Week 9_audio.mp3
30,Los crímenes de odio deben ser condenados enérgicamente por la sociedad.,Hate crimes must be strongly condemned by society.,./Sentences/Week 9/audio/30_Week 9_audio.mp3
31,El racismo es un problema que aún persiste en muchas sociedades.,Racism is a problem that still persists in many societies.,./Sentences/Week 9/audio/31_Week 9_audio.mp3
32,Superar los obstáculos nos hace más fuertes y resilientes.,Overcoming obstacles makes us stronger and more resilient.,./Sentences/Week 9/audio/32_Week 9_audio.mp3
33,"Hay que ser cuidadoso al cruzar la calle, especialmente en zonas con mucho tráfico.","You have to be careful when crossing the street, especially in areas with heavy traffic.",./Sentences/Week 9/audio/33_Week 9_audio.mp3
34,La convivencia pacífica entre vecinos es fundamental para una comunidad armoniosa.,Peaceful coexistence among neighbors is essential for a harmonious community.,./Sentences/Week 9/audio/34_Week 9_audio.mp3
35,Los riesgos de la operación fueron evaluados minuciosamente por el equipo médico.,The risks of the operation were carefully evaluated by the medical team.,./Sentences/Week 9/audio/35_Week 9_audio.mp3
36,Nos brindan información valiosa para tomar decisiones importantes.,They provide us with valuable information to make important decisions.,./Sentences/Week 9/audio/36_Week 9_audio.mp3
37,Los peligros de la selva amazónica son numerosos e impredecibles.,The dangers of the Amazon jungle are numerous and unpredictable.,./Sentences/Week 9/audio/37_Week 9_audio.mp3
38,Reabren el debate sobre la legalización de la marihuana.,They reopen the debate on the legalization of marijuana.,./Sentences/Week 9/audio/38_Week 9_audio.mp3
39,Hacer preguntas es fundamental para obtener respuestas claras.,Asking questions is essential to get clear answers.,./Sentences/Week 9/audio/39_Week 9_audio.mp3
40,Tomar decisiones importantes requiere tiempo y reflexión.,Making important decisions requires time and reflection.,./Sentences/Week 9/audio/40_Week 9_audio.mp3
41,Entrevistar a personas influyentes puede ser una tarea desafiante.,Interviewing influential people can be a challenging task.,./Sentences/Week 9/audio/41_Week 9_audio.mp3
42,El trabajo físico intenso puede cansar rápidamente a cualquiera.,Intense physical work can tire anyone quickly.,./Sentences/Week 9/audio/42_Week 9_audio.mp3
43,Asegurar la victoria en el campeonato será un desafío para el equipo.,Ensuring victory in the championship will be a challenge for the team.,./Sentences/Week 9/audio/43_Week 9_audio.mp3
