,Spanish,English,Audio
0,Me encanta viajar a lugares exóticos durante mis vacaciones.,I love to travel to exotic places during my vacations.,./Sentences/Common Verbs 401 - 503/audio/0_Common Verbs 401 - 503_audio.mp3
1,¿Puedes arreglar la lámpara que se quemó en la sala?,Can you fix the lamp that burned out in the living room?,./Sentences/Common Verbs 401 - 503/audio/1_Common Verbs 401 - 503_audio.mp3
2,Te sugiero que pruebes el nuevo restaurante italiano que abrió en la ciudad.,I suggest you try the new Italian restaurant that opened in the city.,./Sentences/Common Verbs 401 - 503/audio/2_Common Verbs 401 - 503_audio.mp3
3,A los niños les agrada jugar en el parque los fines de semana.,The children enjoy playing in the park on weekends.,./Sentences/Common Verbs 401 - 503/audio/3_Common Verbs 401 - 503_audio.mp3
4,Esa chaqueta te hace lucir muy elegante.,That jacket makes you look very elegant.,./Sentences/Common Verbs 401 - 503/audio/4_Common Verbs 401 - 503_audio.mp3
5,Mis hermanas gemelas siempre se llevan bien entre ellas.,My twin sisters always get along with each other.,./Sentences/Common Verbs 401 - 503/audio/5_Common Verbs 401 - 503_audio.mp3
6,Tengo que tener paciencia cuando las cosas no salen como esperaba.,I have to have patience when things don't go as expected.,./Sentences/Common Verbs 401 - 503/audio/6_Common Verbs 401 - 503_audio.mp3
7,Mi hermano se enfada fácilmente cuando las cosas no salen como él quiere.,My brother gets angry easily when things don't go his way.,./Sentences/Common Verbs 401 - 503/audio/7_Common Verbs 401 - 503_audio.mp3
8,El agua comienza a hervir cuando alcanza los 100 grados Celsius.,Water starts to boil when it reaches 100 degrees Celsius.,./Sentences/Common Verbs 401 - 503/audio/8_Common Verbs 401 - 503_audio.mp3
9,Mi abuela siempre me decía que la honestidad es lo más importante.,My grandmother always told me that honesty is the most important thing.,./Sentences/Common Verbs 401 - 503/audio/9_Common Verbs 401 - 503_audio.mp3
10,Disfruto mucho leyendo un buen libro en un día lluvioso.,I really enjoy reading a good book on a rainy day.,./Sentences/Common Verbs 401 - 503/audio/10_Common Verbs 401 - 503_audio.mp3
11,Es inaceptable maltratar a los animales de cualquier manera.,It is unacceptable to mistreat animals in any way.,./Sentences/Common Verbs 401 - 503/audio/11_Common Verbs 401 - 503_audio.mp3
12,Tu hermano rompió el jarrón de porcelana que estaba en la sala.,Your brother broke the porcelain vase that was in the living room.,./Sentences/Common Verbs 401 - 503/audio/12_Common Verbs 401 - 503_audio.mp3
