,Spanish,English,Audio
0,"La mudanza fue caótica, pero finalmente estamos instalados en nuestra nueva casa.","The move was chaotic, but we are finally settled in our new house.",./Sentences/Week 10/audio/0_Week 10_audio.mp3
1,El alquiler de la oficina es bastante caro en esta zona.,The office rent is quite expensive in this area.,./Sentences/Week 10/audio/1_Week 10_audio.mp3
2,"El papeleo para la visa de trabajo fue tedioso, pero finalmente lo completé.","The paperwork for the work visa was tedious, but I finally completed it.",./Sentences/Week 10/audio/2_Week 10_audio.mp3
3,Tuvimos que pasar horas en las aduanas para poder ingresar al país.,We had to spend hours at customs to enter the country.,./Sentences/Week 10/audio/3_Week 10_audio.mp3
4,"Empacar todas mis pertenencias fue un proceso largo, pero valió la pena.","Packing all my belongings was a long process, but it was worth it.",./Sentences/Week 10/audio/4_Week 10_audio.mp3
5,Los lemas principales de la empresa reflejan sus valores fundamentales.,The company's main slogans reflect its core values.,./Sentences/Week 10/audio/5_Week 10_audio.mp3
6,El mantenimiento del jardín es responsabilidad del arrendatario.,Garden maintenance is the tenant's responsibility.,./Sentences/Week 10/audio/6_Week 10_audio.mp3
7,El campo está lleno de flores silvestres en esta época del año.,The countryside is full of wildflowers at this time of year.,./Sentences/Week 10/audio/7_Week 10_audio.mp3
8,Es común que las personas se muden a la ciudad en busca de mejores oportunidades.,It is common for people to move to the city in search of better opportunities.,./Sentences/Week 10/audio/8_Week 10_audio.mp3
9,Los vecindarios en esta área son muy seguros y acogedores.,The neighborhoods in this area are very safe and welcoming.,./Sentences/Week 10/audio/9_Week 10_audio.mp3
10,Las familias con mayor poder adquisitivo suelen vivir en esta parte de la ciudad.,Families with higher purchasing power tend to live in this part of the city.,./Sentences/Week 10/audio/10_Week 10_audio.mp3
11,La gentrificación está encareciendo los precios de los alquileres en el centro de la ciudad.,Gentrification is driving up rental prices in the city center.,./Sentences/Week 10/audio/11_Week 10_audio.mp3
12,Las personas de bajos ingresos enfrentan dificultades para acceder a viviendas asequibles.,People with low incomes face difficulties in accessing affordable housing.,./Sentences/Week 10/audio/12_Week 10_audio.mp3
13,Los retos a vencer en el mercado inmobiliario son significativos en la actualidad.,The challenges to overcome in the real estate market are significant at present.,./Sentences/Week 10/audio/13_Week 10_audio.mp3
14,Los tratados han impulsado el crecimiento económico en la región.,The treaties have driven economic growth in the region.,./Sentences/Week 10/audio/14_Week 10_audio.mp3
15,La llegada de nuevas empresas está revitalizando la economía local.,The arrival of new companies is revitalizing the local economy.,./Sentences/Week 10/audio/15_Week 10_audio.mp3
16,Los precios de los inmuebles están aumentando rápidamente en esta área.,Property prices are increasing rapidly in this area.,./Sentences/Week 10/audio/16_Week 10_audio.mp3
17,"A diferencia de la ciudad, en el campo se puede disfrutar de aire fresco y tranquilidad.","Unlike the city, in the countryside, you can enjoy fresh air and tranquility.",./Sentences/Week 10/audio/17_Week 10_audio.mp3
18,El proceso de arrendamiento puede ser largo y complicado.,The leasing process can be long and complicated.,./Sentences/Week 10/audio/18_Week 10_audio.mp3
19,La solvencia económica del solicitante es un factor importante para el arrendador.,The economic solvency of the applicant is an important factor for the landlord.,./Sentences/Week 10/audio/19_Week 10_audio.mp3
20,El arrendatario debe cumplir con las normas del contrato de arrendamiento.,The tenant must comply with the terms of the lease agreement.,./Sentences/Week 10/audio/20_Week 10_audio.mp3
21,El notario certificará la firma en el contrato de arrendamiento.,The notary will certify the signature on the lease contract.,./Sentences/Week 10/audio/21_Week 10_audio.mp3
22,Llegaron a un preacuerdo sobre las condiciones del arrendamiento.,They reached a preliminary agreement on the lease conditions.,./Sentences/Week 10/audio/22_Week 10_audio.mp3
23,El incumplimiento del contrato de arrendamiento conlleva consecuencias legales.,Breach of the lease agreement entails legal consequences.,./Sentences/Week 10/audio/23_Week 10_audio.mp3
24,El pago de una multa es obligatorio en caso de incumplimiento del contrato.,The payment of a fine is mandatory in case of breach of the contract.,./Sentences/Week 10/audio/24_Week 10_audio.mp3
25,Quien incumple las normas del arrendamiento puede ser desalojado.,Whoever violates the lease rules can be evicted.,./Sentences/Week 10/audio/25_Week 10_audio.mp3
26,El depósito de garantía será devuelto al final del contrato de arrendamiento.,The security deposit will be returned at the end of the lease agreement.,./Sentences/Week 10/audio/26_Week 10_audio.mp3
27,La tenencia de mascotas está permitida según lo estipulado en el contrato de arrendamiento.,Pet ownership is allowed as stipulated in the lease agreement.,./Sentences/Week 10/audio/27_Week 10_audio.mp3
28,La entrega de las llaves se realizará una vez firmado el contrato.,The keys will be handed over once the contract is signed.,./Sentences/Week 10/audio/28_Week 10_audio.mp3
29,Se realizará un inventario detallado de los bienes al inicio del arrendamiento.,A detailed inventory of the property will be conducted at the beginning of the lease.,./Sentences/Week 10/audio/29_Week 10_audio.mp3
30,Las pólizas de seguro son expedidas por una compañía de seguros reconocida.,Insurance policies are issued by a recognized insurance company.,./Sentences/Week 10/audio/30_Week 10_audio.mp3
31,Las alarmas inalámbricas son una opción popular para la seguridad del arrendamiento.,Wireless alarms are a popular option for lease security.,./Sentences/Week 10/audio/31_Week 10_audio.mp3
32,Los detectores de humo son obligatorios en todas las propiedades de arrendamiento.,Smoke detectors are mandatory in all rental properties.,./Sentences/Week 10/audio/32_Week 10_audio.mp3
33,Es importante contratar un seguro de arrendamiento para proteger la propiedad.,It is important to contract lease insurance to protect the property.,./Sentences/Week 10/audio/33_Week 10_audio.mp3
34,El manejo de los residuos es responsabilidad del arrendatario.,Waste management is the responsibility of the tenant.,./Sentences/Week 10/audio/34_Week 10_audio.mp3
35,El traslado de la responsabilidad de mantenimiento puede estar estipulado en el contrato.,The transfer of maintenance responsibility may be stipulated in the contract.,./Sentences/Week 10/audio/35_Week 10_audio.mp3
36,"Nuestras posesiones son importantes, pero no deberíamos depender demasiado de ellas.","Our possessions are important, but we shouldn't rely too much on them.",./Sentences/Week 10/audio/36_Week 10_audio.mp3
37,Juega un papel clave en la toma de decisiones de la empresa.,It plays a key role in the company's decision-making.,./Sentences/Week 10/audio/37_Week 10_audio.mp3
38,Los puestos de alto riesgo requieren un alto nivel de preparación y atención.,High-risk positions require a high level of preparation and attention.,./Sentences/Week 10/audio/38_Week 10_audio.mp3
39,El funcionario de asuntos financieros es responsable de manejar el presupuesto de la empresa.,The official in charge of financial affairs is responsible for managing the company's budget.,./Sentences/Week 10/audio/39_Week 10_audio.mp3
40,Los empleados locales conocen bien las necesidades de la comunidad.,Local employees are familiar with the community's needs.,./Sentences/Week 10/audio/40_Week 10_audio.mp3
41,El funcionario de recursos humanos se encarga de contratar nuevo personal.,The human resources official is in charge of hiring new staff.,./Sentences/Week 10/audio/41_Week 10_audio.mp3
42,Las acreditaciones son necesarias para demostrar la competencia profesional.,Accreditations are necessary to demonstrate professional competence.,./Sentences/Week 10/audio/42_Week 10_audio.mp3
43,Las hojas de vida deben reflejar con precisión la experiencia laboral de cada candidato.,Resumes should accurately reflect each candidate's work experience.,./Sentences/Week 10/audio/43_Week 10_audio.mp3
44,Los más calificados serán seleccionados para la siguiente etapa del proceso de contratación.,The most qualified will be selected for the next stage of the hiring process.,./Sentences/Week 10/audio/44_Week 10_audio.mp3
45,Aconseja al personal sobre cómo mejorar su desempeño laboral.,Advises the staff on how to improve their job performance.,./Sentences/Week 10/audio/45_Week 10_audio.mp3
46,Estamos orgullosos de los logros alcanzados por nuestro equipo este año.,We are proud of the achievements made by our team this year.,./Sentences/Week 10/audio/46_Week 10_audio.mp3
47,La esclavitud es una violación flagrante de los derechos humanos.,Slavery is a flagrant violation of human rights.,./Sentences/Week 10/audio/47_Week 10_audio.mp3
48,La explotación laboral debe ser erradicada para garantizar condiciones justas para todos los trabajadores.,Labor exploitation must be eradicated to ensure fair conditions for all workers.,./Sentences/Week 10/audio/48_Week 10_audio.mp3
49,La débil estructura del edificio representa un peligro para los residentes.,The weak structure of the building poses a danger to the residents.,./Sentences/Week 10/audio/49_Week 10_audio.mp3
50,"Contra su voluntad, fue obligado a abandonar su hogar.","Against his will, he was forced to leave his home.",./Sentences/Week 10/audio/50_Week 10_audio.mp3
51,Las alfombras añaden calidez y comodidad a cualquier habitación.,Carpets add warmth and comfort to any room.,./Sentences/Week 10/audio/51_Week 10_audio.mp3
52,"Cortando caña de azúcar, los trabajadores enfrentan duras condiciones laborales.","Cutting sugar cane, workers face harsh working conditions.",./Sentences/Week 10/audio/52_Week 10_audio.mp3
53,La Declaración Universal de Derechos Humanos deja bien claro que todos los seres humanos nacen libres e iguales en dignidad y derechos.,The Universal Declaration of Human Rights makes it clear that all human beings are born free and equal in dignity and rights.,./Sentences/Week 10/audio/53_Week 10_audio.mp3
54,La remuneración justa es fundamental para garantizar la satisfacción de los empleados.,Fair compensation is essential to ensure employee satisfaction.,./Sentences/Week 10/audio/54_Week 10_audio.mp3
55,Ésas no deben tolerarse.,Those should not be tolerated.,./Sentences/Week 10/audio/55_Week 10_audio.mp3
56,Un mejor entorno/ambiente es fundamental para el bienestar de todos.,A better environment is essential for everyone's well-being.,./Sentences/Week 10/audio/56_Week 10_audio.mp3
57,Coincidí con mi compañero en la reunión de ayer.,I coincided with my colleague at yesterday's meeting.,./Sentences/Week 10/audio/57_Week 10_audio.mp3
58,Mi compañero de trabajo es muy amable y servicial.,My coworker is very kind and helpful.,./Sentences/Week 10/audio/58_Week 10_audio.mp3
59,Tenía muchas ganas de comer helado esta tarde.,I really wanted to eat ice cream this afternoon.,./Sentences/Week 10/audio/59_Week 10_audio.mp3
60,Las sillas de la sala de espera son muy cómodas.,The chairs in the waiting room are very comfortable.,./Sentences/Week 10/audio/60_Week 10_audio.mp3
61,¿Me acompañarías al concierto esta noche?,Would you accompany me to the concert tonight?,./Sentences/Week 10/audio/61_Week 10_audio.mp3
62,Aquello que vimos en la película me dejó sin palabras.,That which we saw in the movie left me speechless.,./Sentences/Week 10/audio/62_Week 10_audio.mp3
63,Nos acordamos de ti cuando escuchamos tu canción favorita.,We remember you when we hear your favorite song.,./Sentences/Week 10/audio/63_Week 10_audio.mp3
64,Doña María es una mujer muy amable y generosa.,Mrs. Maria is a very kind and generous woman.,./Sentences/Week 10/audio/64_Week 10_audio.mp3
65,El vaso estaba lleno hasta el borde.,The glass was filled to the brim.,./Sentences/Week 10/audio/65_Week 10_audio.mp3
66,Esa película es muy sentimental y conmovedora.,That movie is very sentimental and touching.,./Sentences/Week 10/audio/66_Week 10_audio.mp3
67,Tuvimos una charla muy interesante sobre el medio ambiente.,We had a very interesting conversation about the environment.,./Sentences/Week 10/audio/67_Week 10_audio.mp3
68,El puente que cruza el río es muy antiguo.,The bridge that crosses the river is very old.,./Sentences/Week 10/audio/68_Week 10_audio.mp3
69,El continente europeo tiene una gran diversidad cultural.,The European continent has a great cultural diversity.,./Sentences/Week 10/audio/69_Week 10_audio.mp3
70,Me dieron una sorpresa en mi cumpleaños.,They gave me a surprise on my birthday.,./Sentences/Week 10/audio/70_Week 10_audio.mp3
71,El comentario que hiciste me hizo reflexionar.,The comment you made made me reflect.,./Sentences/Week 10/audio/71_Week 10_audio.mp3
72,La vía del tren atraviesa el campo.,The train track crosses the countryside.,./Sentences/Week 10/audio/72_Week 10_audio.mp3
